year,year_id,countries,country_id,regions,region_id,western_emerging,west_emerge_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,interaction_gdp,fdi_by_usa_million,interaction_us_fdi,stock_market_capitalization_gdp,interaction_stock_mkt,government_effectiveness ,rule_of_law
1986,5,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,245,76,13083.07266,994313.5222,736,55936,6.7212,510.8112,1.73,1.81
1987,6,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,245,75,16392.76952,1229457.714,711,53325,6.3935,479.5125,1.73,1.81
1988,7,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,392,75,17578.61894,1318396.421,697,52275,7.5224,564.18,1.73,1.81
1989,8,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,386,75,17468.94614,1310170.961,962,72150,18.228,1367.1,1.73,1.81
1990,9,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,625,75,21680.98962,1626074.222,1113,83475,15.8111,1185.8325,1.73,1.81
1991,10,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,573,79,22410.91177,1770462.03,1268,100172,13.9429,1101.4891,1.73,1.81
1992,11,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,583,79,24880.16412,1965532.965,1371,108309,10.124,799.796,1.73,1.81
1993,12,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,638,80,24081.52779,1926522.223,1312,104960,13.782,1102.56,1.73,1.81
1994,13,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,769,80,25646.70066,2051736.053,2197,175760,14.1596,1132.768,1.73,1.81
1995,14,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,1553,81,30325.84958,2456393.816,2829,229149,12.7023,1028.8863,1.73,1.81
1996,15,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,1784,83,29809.07677,2474153.372,2854,236882,13.4518,1116.4994,1.73,1.81
1997,16,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,2363,84,26705.4786,2243260.202,2646,222264,17.3034,1453.4856,1.8,1.83
1998,17,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,2618,84,27361.87511,2298397.509,3856,323904,1.1913,100.0692,1.87,1.85
1999,18,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,3216,85,27174.29716,2309815.259,3848,327080,15.2049,1292.4165,1.9,1.84
2000,19,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,3007,86,24564.45829,2112543.413,2872,246992,15.211,1308.146,1.93,1.84
2001,20,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,2743,87,24537.51426,2134763.741,3964,344868,12.7722,1111.1814,1.94,1.87
2002,21,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,3596,86,26401.74546,2270550.11,4011,344946,15.7365,1353.339,1.94,1.89
2003,22,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,3606,86,32222.89724,2771169.163,6366,547476,21.5985,1857.471,2,1.89
2004,23,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,3572,87,36821.52147,3203472.368,9264,805968,29.1708,2537.8596,1.87,1.84
2005,24,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,2425,87,38403.13388,3341072.648,11236,977532,39.9562,3476.1894,1.68,1.86
2006,25,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,2305,87,40635.28182,3535269.518,14897,1296039,57.3724,4991.3988,1.83,1.91
2007,26,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,4410,88,46855.77175,4123307.914,14646,1288848,60.8319,5353.2072,1.87,1.96
2008,27,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,4251,88,51708.76575,4550371.386,13546,1192048,17.7294,1560.1872,1.78,1.92
2009,28,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,4622,88,47963.1794,4220759.787,10954,963952,28.5067,2508.5896,1.67,1.78
2010,29,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,4532,88,46858.04327,4123507.808,11485,1010680,32.1598,2830.0624,1.84,1.8
2011,30,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,4861,88,51374.95841,4520996.34,12556,1104928,19.7786,1740.5168,1.62,1.8
2012,31,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,5286,88,48567.69529,4273957.186,14327,1260776,25.8989,2279.1032,1.58,1.86
2013,32,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,5976,88,50716.70871,4463070.366,15630,1375440,27.3611,2407.7768,1.59,1.85
2014,33,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,6962,89,51717.49594,4602857.139,10171,905219,21.8985,1948.9665,1.57,1.95
2015,34,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,7159,88,44178.04738,3887668.169,6508,572704,25.1637,2214.4056,1.48,1.86
2016,35,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,10655,88,45276.83144,3984361.167,7566,665808,30.583,2691.304,1.51,1.81
2017,36,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,13160,89,47426.51196,4220959.564,7987,710843,36.1055,3213.3895,1.46,1.81
2018,37,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,12392,89,51478.28526,4581567.388,6740,599860,25.6654,2284.2206,1.45,1.87
2019,38,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,13964,89,50137.66278,4462251.987,7643,680227,29.9046,2661.5094,1.49,1.88
1982,1,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,1904,79,9343.8611,738165.0269,5549,438371,9.3003,734.7237,1.71,1.37
1983,2,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,2261,80,8846.234298,707698.7438,5087,406960,12.3635,989.08,1.71,1.37
1984,3,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,2548,81,8457.268803,685038.773,5202,421362,14.8076,1199.4156,1.71,1.37
1985,4,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,2291,81,8750.818513,708816.2996,5619,455139,24.1935,1959.6735,1.71,1.37
1986,5,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,2487,81,12170.0407,985773.2967,5568,451008,31.1091,2519.8371,1.71,1.37
1987,6,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,3371,80,15135.85231,1210868.185,7719,617520,27.8779,2230.232,1.71,1.37
1988,7,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,3471,80,16391.09383,1311287.506,7830,626400,36.2208,2897.664,1.71,1.37
1989,8,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,3799,80,16525.06174,1322004.939,7710,616800,45.5947,3647.576,1.71,1.37
1990,9,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,3900,80,20600.37528,1648030.022,9464,757120,31.8748,2549.984,1.71,1.37
1991,10,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,3228,82,21041.66065,1725416.173,10611,870102,33.7814,2770.0748,1.71,1.37
1992,11,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,4165,84,23372.61917,1963300.01,11381,956004,27.3041,2293.5444,1.71,1.37
1993,12,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,3870,84,22283.93602,1871850.626,11697,982548,34.6988,2914.6992,1.71,1.37
1994,13,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,4331,85,24208.55479,2057727.157,14714,1250690,34.353,2920.005,1.71,1.37
1995,14,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,4397,85,28413.82644,2415175.247,18706,1590010,35.2129,2993.0965,1.71,1.37
1996,15,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,4658,85,27489.55518,2336612.19,18740,1592900,42.5506,3616.801,1.71,1.37
1997,16,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,6199,86,24820.93805,2134600.672,17337,1490982,54.1867,4660.0562,1.78,1.31
1998,17,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,9929,85,25338.44329,2153767.68,17899,1521415,94.395,8023.575,1.84,1.25
1999,18,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,11011,86,25244.27505,2171007.654,21756,1871016,71.3265,6134.079,1.79,1.3
2000,19,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,14787,87,23041.53473,2004613.522,17973,1563651,77.2553,6721.2111,1.73,1.34
2001,20,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,15623,87,22995.15752,2000578.704,22589,1965243,70.1116,6099.7092,1.86,1.36
2002,21,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,9777,86,24887.56133,2140330.274,25727,2212522,49.6024,4265.8064,1.98,1.37
2003,22,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,11239,87,30587.66841,2661127.152,27415,2385105,54.6826,4757.3862,1.93,1.37
2004,23,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,12581,87,35364.37533,3076700.654,41840,3640080,74.1438,6450.5106,1.88,1.33
2005,24,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,10024,87,36795.97688,3201249.989,49306,4289622,74.8192,6509.2704,1.71,1.27
2006,25,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,11691,88,38672.70594,3403198.123,51862,4563856,97.1195,8546.516,1.75,1.24
2007,26,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,23471,89,44262.896,3939397.744,62491,5561699,81.976,7295.864,1.61,1.33
2008,27,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,23379,89,48106.89292,4281513.47,65279,5809831,32.4555,2888.5395,1.39,1.35
2009,28,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,36292,89,44583.54481,3967935.488,46610,4148290,53.9671,4803.0719,1.57,1.38
2010,29,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,69565,89,44141.87814,3928627.154,43975,3913775,55.8739,4972.7771,1.58,1.39
2011,30,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,78767,89,47348.52502,4214018.727,50984,4537576,43.8769,3905.0441,1.66,1.42
2012,31,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,102705,89,44673.11588,3975907.313,49144,4373816,60.3645,5372.4405,1.6,1.43
2013,32,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,91413,89,46744.66254,4160274.966,51966,4624974,71.759,6386.551,1.61,1.44
2014,33,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,97038,90,47700.54036,4293048.632,48242,4341780,70.7951,6371.559,1.38,1.52
2015,34,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,88121,90,40991.80814,3689262.733,48096,4328640,89.7018,8073.162,1.44,1.46
2016,35,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,94462,90,41984.10303,3778569.273,49692,4472280,79.4856,7153.704,1.33,1.39
2017,36,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,76009,90,44192.62303,3977336.073,53645,4828050,87.0888,7837.992,1.18,1.34
2018,37,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,64661,90,47583.07494,4282476.745,61271,5514390,59.0534,5314.806,1.17,1.37
2019,38,Belgium,3,Europe,1,Western,1,Bruxelles-Brussel,50.8467,4.3499,65918,90,46420.66377,4177859.739,63157,5684130,59.0534,5314.806,1.03,1.36
1982,1,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,498,77,11804.43289,908941.3325,1155,88935,9.179,706.783,1.76,1.82
1983,2,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,498,77,11857.89214,913057.6948,1275,98175,17.4079,1340.4083,1.76,1.82
1984,3,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,498,77,11562.91908,890344.7692,1263,97251,12.8383,988.5491,1.76,1.82
1985,4,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,498,79,12253.10021,967994.9166,1383,109257,24.093,1903.347,1.76,1.82
1986,5,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,498,78,17201.08881,1341684.927,1164,90792,19.7116,1537.5048,1.76,1.82
1987,6,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,498,78,21340.72786,1664576.773,1120,87360,18.5902,1450.0356,1.76,1.82
1988,7,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,588,79,22527.04673,1779636.692,1182,93378,23.2655,1837.9745,1.76,1.82
1989,8,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,656,77,21901.05475,1686381.216,1454,111958,35.7835,2755.3295,1.76,1.82
1990,9,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,819,78,26891.44645,2097532.823,1726,134628,28.2555,2203.929,1.76,1.82
1991,10,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,448,80,27011.37746,2160910.197,1940,155200,32.1728,2573.824,1.76,1.82
1992,11,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,571,81,29569.66036,2395142.489,1676,135756,21.2462,1720.9422,1.76,1.82
1993,12,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,1110,81,27597.97523,2235435.994,1735,140535,27.8873,2258.8713,1.76,1.82
1994,13,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,2429,82,29995.57962,2459637.529,2030,166460,30.099,2468.118,1.76,1.82
1995,14,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,3444,83,35351.36546,2934163.333,2161,179363,30.3891,2522.2953,1.76,1.82
1996,15,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,2626,83,35650.71409,2959009.269,2554,211982,37.8822,3144.2226,1.76,1.82
1997,16,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,2858,84,32835.93994,2758218.955,2385,200340,54.036,4539.024,1.87,1.85
1998,17,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,3294,84,33368.14242,2802923.963,2764,232176,55.8644,4692.6096,1.98,1.88
1999,18,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,5215,84,33440.79481,2809026.764,3846,323064,54.7594,4599.7896,1.98,1.86
2000,19,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,4025,86,30743.54768,2643945.1,5270,453220,68.1162,5857.9932,1.98,1.84
2001,20,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,1857,87,30751.65435,2675393.928,5160,448920,51.6686,4495.1682,2.03,1.88
2002,21,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,4215,86,33228.69354,2857667.644,6184,531824,42.9646,3694.9556,2.09,1.92
2003,22,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,4531,86,40458.7774,3479454.856,5597,481342,55.774,4796.564,2.15,1.96
2004,23,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,5064,86,46511.59833,3999997.456,6815,586090,60.2093,5177.9998,2.31,1.95
2005,24,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,6117,87,48799.8256,4245584.827,6914,601518,62.5294,5440.0578,2.12,1.95
2006,25,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,6726,87,52026.99951,4526348.957,5849,508863,72.7997,6333.5739,2.23,2
2007,26,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,5761,89,58487.05497,5205347.892,8950,796550,83.0217,7388.9313,2.35,2.01
2008,27,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,5537,88,64322.0635,5660341.588,10481,922328,61.6847,5428.2536,2.25,1.97
2009,28,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,6806,87,58163.27688,5060205.089,13053,1135611,48.9679,4260.2073,2.23,1.92
2010,29,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,7772,88,58041.39844,5107643.063,11802,1038576,64.4109,5668.1592,2.1,1.9
2011,30,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,7470,88,61753.64713,5434320.947,14942,1314896,62.4303,5493.8664,2.1,1.92
2012,31,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,7732,87,58507.50805,5090153.2,14306,1244622,61.1841,5323.0167,1.98,1.87
2013,32,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,9913,87,61191.1937,5323633.852,13397,1165539,61.1841,5323.0167,1.99,1.9
2014,33,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,13322,88,62548.98473,5504310.656,16497,1451736,61.1841,5384.2008,1.82,2.1
2015,34,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,14509,88,53254.85637,4686427.361,15794,1389872,61.1841,5384.2008,1.85,2.04
2016,35,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,18920,88,54663.99837,4810431.857,16909,1487992,61.1841,5384.2008,1.88,1.91
2017,36,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,18617,88,57610.09818,5069688.64,12107,1065416,61.1841,5384.2008,1.8,1.86
2018,37,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,20654,88,61598.5367,5420671.23,9498,835824,61.1841,5384.2008,1.87,1.83
2019,38,Denmark,4,Europe,1,Western,1,København (Copenhagen),55.6759,12.5655,23870,88,60170.34264,5294990.152,8992,791296,61.1841,5384.2008,1.94,1.9
1982,1,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,295,70,10938.12206,765668.5442,178,12460,5.2264,365.848,1.72,1.91
1983,2,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,295,70,10497.48,734823.6,199,13930,8.1096,567.672,1.72,1.91
1984,3,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,295,72,10833.86629,780038.3729,193,13896,9.2939,669.1608,1.72,1.91
1985,4,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,295,73,11398.10595,832061.7344,268,19564,10.4783,764.9159,1.72,1.91
1986,5,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,295,72,14951.04679,1076475.369,306,22032,15.9006,1144.8432,1.72,1.91
1987,6,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,295,73,18571.05993,1355687.375,404,29492,21.819,1592.787,1.72,1.91
1988,7,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,452,72,22047.79332,1587441.119,426,30672,28.0116,2016.8352,1.72,1.91
1989,8,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,1297,70,23973.23948,1678126.764,485,33950,25.8708,1810.956,1.72,1.91
1990,9,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,1504,71,28364.64508,2013889.801,544,38624,16.0645,1140.5795,1.72,1.91
1991,10,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,1416,74,25484.73929,1885870.707,386,28564,11.1129,822.3546,1.72,1.91
1992,11,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,1767,75,22319.05946,1673929.46,343,25725,10.6225,796.6875,1.72,1.91
1993,12,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,1617,77,17608.81239,1355878.554,414,31878,26.3687,2030.3899,1.72,1.91
1994,13,Finland,5,Europe,1,Western,1,Helsinki,60.1692,24.9402,2016,78,20301.33309,1583503.981,761,59358,37.0092,2886.7176,1.72,1.91
